Sample,UTM,Easting,Northing,ALTITUDE,MINTEMP,PRECIPITATION,DISTWATER,ASPECT,SLOPE,DISTFARM,DISTPOUL,DENSITY,VEGTYPE,DIST_URB
1530,28N,377029.169,3659409.5,141.5,12.91111875,425.9342429,1785.27892,S,14.67871165,508.4692903,508.4692903,2.174950085,grass,269.3789928
1531,28N,377977.242,3661312.73,52,12.76916727,415.420027,271.2187948,E,7.188606977,109.3033935,109.3033935,0.321334696,grass,2149.709677
1532,28N,377362.366,3662828.52,190.5,12.5,438,744.6273374,SW,7.956669807,1677.110508,1677.110508,1.21405585,grass,2437.890226
1533,28N,376611.746,3662666.07,236,12.19999981,458,1128.493031,N,16.63021975,1330.92904,1956.233521,1.267766158,grass,1721.728561
1534,28N,376120.824,3662153.3,240,12.07333223,474.0000621,1244.472944,NW,10.21350956,817.6895282,1262.501068,2.961909839,grass,1025.476389
1535,28N,376120.824,3662153.3,240,12.07333223,474.0000621,1244.472944,NW,10.21350956,817.6895282,1262.501068,2.961909839,grass,1025.476389
1536,28N,372687.831,3659947.31,169.25,12.5,443,1187.422474,SE,3.397266905,336.4780855,336.4780855,6.706906508,grass,1084.374882
1537,28N,372687.831,3659947.31,169.25,12.5,443,1187.422474,SE,3.397266905,336.4780855,336.4780855,6.706906508,grass,1084.374882
1538,28N,378778.363,3659816.85,14.6,13.25,412,1417.759288,SE,5.444376409,1287.50037,1287.50037,0.598806698,rock,1082.398961
1539,28N,374035.27,3662136.66,107.25,12.61460209,435.1330563,722.5337928,SE,4.977074039,1021.355794,1185.786737,2.741690279,urban,1.718907558
1540,28N,374035.27,3662136.66,107.25,12.61460209,435.1330563,722.5337928,SE,4.977074039,1021.355794,1185.786737,2.741690279,urban,1.718907558
1541,28N,372988.61,3661110,145,12.60000038,428,1233.296504,W,4.556429052,475.2032592,475.2032592,4.92849844,rock,624.8108572
1542,28N,373894.061,3660013.78,92.83333333,12.69999981,432,313.6819188,E,1.627491713,16.65864772,273.4891579,5.138272081,arable,38.49746265
1543,28N,373834.439,3659733.99,95.25,12.69999981,432,34.43057187,E,5.287920475,8.570172251,152.36317,5.380352976,arable,103.9729861
1544,28N,373897.366,3660343.08,94,12.69999981,430.6092463,474.2089989,E,2.067550093,312.6904524,561.3305948,5.063880857,arable,29.73630476
1545,28N,373642.132,3659953.81,111,12.69999981,432,325.518705,E,4.145108938,152.2360252,152.2360252,5.256736558,arable,291.2138621
1546,28N,373762.739,3660836.07,113.75,12.69999981,428,413.8781041,E,6.061937928,816.1689432,1018.351208,5.063880857,arable,98.96637914
1547,28N,372437.132,3656537.29,73.2,13.25026668,405.0353418,883.6646838,E,5.488183212,117.8814041,222.3736043,3.106215737,grass,281.6802142
1548,28N,372437.132,3656537.29,73.2,13.25026668,405.0353418,883.6646838,E,5.488183212,117.8814041,222.3736043,3.106215737,grass,281.6802142
1549,28N,371340.053,3655070.09,11.8,13.10000038,416,2702.199984,SE,2.02490145,1943.035758,1976.010355,3.919782926,grass,1571.851369
1550,28N,371459.449,3655199.38,12.33333333,13.10000038,416,2529.012639,SE,1.922842145,1767.709234,1800.04467,4.390150564,grass,1399.933794
1551,28N,371669.749,3655422.85,11.5,13.26338501,402.6505136,2228.696364,E,0.765208215,1462.708498,1493.300806,4.675081814,grass,1102.424968
1552,28N,370969.372,3655367.72,149.75,13.10000038,416,2694.857426,S,19.98374355,1994.117427,2057.47035,3.919230537,rock,1760.273178
1553,28N,371075.517,3655554.84,152,13.10000038,416,2486.051717,E,7.91214788,1796.797547,1865.891738,3.919230537,shrub,1601.116648
1554,28N,370728.56,3655807.8,105.2,12.85600147,427.3866168,2451.104347,S,7.366847897,1974.037435,2065.452917,3.919230537,shrub,1893.100696
1555,28N,370137.774,3656691.66,75,12.77931638,427.4007693,2191.25043,NW,5.972572803,2399.958819,2526.193328,1.269912224,shrub,2453.05291
1556,28N,372424.735,3658527.98,94.75,12.93635601,421.5161221,498.5927199,S,3.364187121,478.6470791,478.6470791,5.766828578,grass,166.699008
1557,28N,372312.167,3658560.49,90.16666667,12.87327962,425.2368323,450.0128255,SW,3.092090607,594.6609194,594.6609194,6.027922044,grass,227.342145
1558,28N,372180.193,3658751.84,101,12.80000019,430,557.3890211,S,3.990155816,801.1946158,801.1946158,6.027922044,arable,458.6154507
1559,28N,375742.565,3662210.21,218,12.27042462,459.2181424,866.0518256,W,8.694187832,437.0493573,997.530831,2.961909839,grass,768.6107564
1560,28N,375742.565,3662210.21,218,12.27042462,459.2181424,866.0518256,W,8.694187832,437.0493573,997.530831,2.961909839,grass,768.6107564
1561,28N,375657.233,3662326.62,193.75,12.24523666,455.5873694,792.752895,W,9.411364198,334.1506342,1029.620632,2.961909839,grass,792.2348189
1562,28N,376059.04,3661180.45,342.75,11.99610669,482.1946646,1552.875203,SW,5.225254869,1059.900414,1059.900414,3.164899492,grass,920.6791775
1563,28N,372092.874,3660074.82,169.25,12.69999981,434,1785.541147,SW,2.583176285,750.3273994,750.3273994,6.798693814,grass,1550.125155
1564,28N,372449.094,3660399.53,223,12.61735914,432.3205003,1564.319482,S,4.213448485,361.816032,361.816032,7.466210496,grass,1414.920016
1565,28N,372216.738,3660337.13,185.5,12.68354856,434.0248042,1751.869671,SW,5.738391399,460.3033931,460.3033931,6.798693814,grass,1643.845902
1566,28N,371906.094,3659285.49,165,12.80000019,430,974.4068277,SE,3.354103953,698.4634247,860.0875225,6.695350665,grass,1058.092224
1567,28N,371906.094,3659285.49,165,12.80000019,430,974.4068277,SE,3.354103953,698.4634247,860.0875225,6.695350665,grass,1058.092224
1568,28N,371914.944,3659176.7,165,12.80000019,430,871.1396406,S,4.59064889,728.959565,884.3407465,6.695350665,grass,959.3998233
1569,28N,371794.778,3658913.23,124.5,12.80000019,430,587.0486827,SW,10.27797103,967.7500018,1109.54357,6.129659812,grass,828.111355
1570,28N,372150.207,3655877.89,11.25,13.10000038,413,1602.716929,S,0.539334932,819.9872283,836.1482721,4.663481639,grass,479.6240667
1571,28N,372154.887,3656021.99,15.25,13.10000038,413,1470.291908,SE,0.919778764,693.5635369,723.9062273,3.707831896,grass,454.4449059
1572,28N,372043.154,3655905.9,12.75,13.10000038,413,1624.554153,S,0.74922806,852.4668282,885.0285326,4.537282345,grass,578.2642634
1573,28N,373803.602,3657338,10.5,13.30000019,406,715.748853,SE,0.711192113,1158.767761,1158.767761,5.031262435,shrub,78.442449
1574,28N,373803.602,3657338,10.5,13.30000019,406,715.748853,SE,0.711192113,1158.767761,1158.767761,5.031262435,shrub,78.442449
1575,28N,376468.34,3659880.07,132.25,12.5,446,1598.481231,SW,13.63290138,330.0478644,330.0478644,1.8022438,rock,410.4329621
1576,28N,376493.168,3659849.82,132.25,12.5,446,1621.969227,SW,14.8838582,369.1707793,369.1707793,1.972686738,rock,415.1177556
1577,28N,376931.812,3659686.84,169.8,12.5,446,1605.634108,S,8.790435934,271.2851558,271.2851558,2.174950085,grass,563.2071157
1578,28N,377078.827,3659497.59,144,12.92662539,426.7369937,1684.158087,SE,9.91239953,418.0761637,418.0761637,2.174950085,grass,341.5522041
1579,28N,371787.055,3657394.1,110.5,12.69999981,430,562.0949096,NW,6.429013014,1090.544297,1220.159781,6.646349935,grass,789.7364693
1580,28N,371900.801,3657236.25,150,12.69999981,430,696.6780398,NW,13.93916114,898.0633788,1029.018847,6.646349935,grass,855.3669589
1581,28N,371900.801,3657236.25,150,12.69999981,430,696.6780398,NW,13.93916114,898.0633788,1029.018847,6.646349935,grass,855.3669589
1582,28N,371650.798,3657401.43,101.3333333,12.91471772,418.7273256,609.8747876,E,3.020685315,1193.15981,1325.766479,6.646349935,grass,861.6142395
1583,28N,371650.798,3657401.43,101.3333333,12.91471772,418.7273256,609.8747876,E,3.020685315,1193.15981,1325.766479,6.646349935,grass,861.6142395
1584,28N,374103.265,3661762.08,110,12.52122979,443.9831678,789.8762136,NW,2.566217721,785.6861923,969.8575527,3.450338927,urban,0
1585,28N,373659.844,3661978.48,103,12.89999962,410,1118.412629,NW,10.2338739,1275.922681,1457.70037,3.062137994,rock,2.166110761
1586,28N,371166.343,3655998.33,119.75,12.80000019,424,2086.775126,E,9.035047412,1496.596022,1588.709997,2.366501964,shrub,1443.205837
1587,28N,370782.512,3656287.26,221.25,12.82882787,422.9429858,2018.0434,S,12.80485983,1781.447013,1894.043616,1.610580872,grass,1845.755938
1588,28N,373505.844,3659521.98,132.25,12.70753285,431.3973591,306.2710953,E,3.437939763,102.0473622,355.091746,5.452186976,grass,340.5691662
1589,28N,373437.047,3659545.05,134.5,12.70038524,431.969166,378.1547949,E,2.332104504,160.9331937,381.2017154,5.708768602,grass,366.9660383
