Sample,UTM,Easting,Northing,ALTITUDE,MINTEMP,PRECIPITATION,DISTWATER,ASPECT,SLOPE,DISTFARM,DISTPOUL,DENSITY,VEGTYPE,DIST_URB,autocov1000m
1104,28N,365384,3134564,55,14.2,277.8283,349.646629,E,4.93,1276.027037,1276.027037,0.814,Shrub,77.347778,0
1105,28N,365385,3134565,52,14.2,277.7438,350.779155,E,4.876,1277.297537,1277.297537,0.814,Shrub,78.761011,0
1106,28N,365464,3134550,46,14.2,269.6461,427.287631,E,4.842,1331.896767,1347.727346,0.814,Shrub,102.801197,0
1107,28N,366308,3134625,7,14.5,263,743.260595,E,2.342,2063.620604,2105.131112,0.611,Shrub,42.749726,0.26585794
1108,28N,366328,3134635,7,14.5,263,743.260595,E,2.342,2063.620604,2105.131112,0.611,Shrub,42.749726,0.26585794
1110,28N,366497,3133542,17,14.5,263,731.450224,E,5.083,2000.257233,2013.340011,0.611,Shrub,80.595189,1
1111,28N,366517,3133537,17,14.5,263,731.450224,E,5.083,2000.257233,2013.340011,0.611,Shrub,80.595189,1
1114,28N,361317,3125055,192,13.7,267.681,147.530942,E,8.153,304.868824,304.868824,0.611,Urban,4.115927,0
1116,28N,360984,3122855,86,13.8,259,24.857061,E,6.382,692.301235,1855.157675,0.458,Shrub,58.270532,0
1117,28N,361173,3122839,53,14.2,259,184.156448,E,5.988,586.204742,1834.099506,0.458,Shrub,158.608224,0
1121,28N,358968,3120985,160,13.6,277.9734,110.089527,E,6.662,972.100817,3193.363117,0.967,Shrub,140.012628,0.16399749
1123,28N,359231,3115941,1,14.39,255,924.12337,E,1.37,1674.510674,2275.304155,0.509,Grass,51.726078,0
1127,28N,359482,3114258,7,14.4,254,278.674248,E,2.241,2813.163699,3908.966743,0.509,Shrub,111.610981,0
1132,28N,356227,3111860,19,14.37,255.7339,371.981582,E,5.542,758.18863,3135.592448,0.254,Shrub,149.153307,0
1139,28N,348284,3103519,38,14.2,257,178.289466,E,6.352,1298.816769,1298.816769,0.407,Shrub,162.061487,0
1156,28N,370435,3144245,351,14.5,327.1908,244.846192,E,4.584,453.64744,2401.442274,0.713,Shrub,48.802361,1
1158,28N,370415,3144255,351,14.5,327.1908,244.846192,E,4.584,453.64744,2401.442274,0.713,Shrub,48.802361,1
1159,28N,369516,3146303,565,10.86,464,115.814388,E,6.978,420.86221,1000.017999,0.509,Shrub,33.820376,1
1160,28N,369546,3146315,565,10.86,464,115.814388,E,6.978,420.86221,1000.017999,0.509,Shrub,33.820376,1
1163,28N,368054,3149121,718,8.61,559.0314,1018.496325,E,4.6,1099.172415,1279.678084,0.254,Urban,156.011381,0
1167,28N,369122,3147894,628,9.51,508.7035,150.313969,E,2.525,498.78352,1342.197079,0.407,Urban,58.001774,1
1194,28N,346290,3112495,582,10.6,391.0568,97.099502,E,11.99,840.43917,1287.4199,0.356,Shrub,155.185034,0
1198,28N,349909,3113815,471,11.2,376,366.333278,E,5.943,781.839497,1022.869004,0.407,Shrub,221.578751,1
1205,28N,357541,3121658,345,12.1,324,139.193267,E,5.798,728.829884,3403.086393,0.662,Urban,107.989356,0
1209,28N,359682,3120429,91,14.15,260.9767,30.559943,E,4.453,1085.287519,2974.164084,0.763,Shrub,65.754963,0.29945451
1249,28N,362699,3135491,270,12.2,322,60.73721,E,3.711,526.267042,617.823599,0.407,Urban,42.774041,1
1253,28N,368356,3144626,556,11,455,238.270141,E,4.677,446.305948,1250.496301,0.662,Urban,29.50077,1
1254,28N,368376,3144634,556,11,455,238.270141,E,4.677,446.305948,1250.496301,0.662,Urban,29.50077,1
1259,28N,321049,3141718,15,13.6,315,475.895422,E,4.726,1188.724105,12219.12096,0.356,Grass,281.983114,0
1274,28N,347261,3109381,314,12.44,329.5959,270.339458,E,6.666,638.78948,1376.061408,0.763,Shrub,139.621813,0
1288,28N,355548,3118138,337,12.3,325.506,88.269141,E,4.481,539.400593,1399.258732,0.458,Shrub,22.913077,0
1296,28N,358671,3123287,369,12.39,347,53.095469,E,4.073,237.5984,1825.912374,0.611,Urban,149.592961,1
1299,28N,359520,3124978,431,11.9,378,38.863477,E,9.356,240.16869,735.356376,0.56,Shrub,13.331827,0
1306,28N,362507,3128523,390,11.6,337,18.699123,E,9.293,1500.748146,1500.748146,0.356,Urban,46.986402,1
1363,28N,315432,3136808,757,8.7,490,620.631254,E,5.33,599.920828,17409.36449,0.305,Urban,18.121657,0
1384,28N,337767,3142276,73,13,374,142.888126,E,5.988,831.77521,831.77521,0.203,Urban,79.286553,0
1404,28N,371565,3144932,289,12.5,262,198.685447,E,12.693,1144.24167,2601.614883,0.56,Shrub,92.409921,1
1405,28N,372999,3145255,120,13.3,261,709.182325,E,5.16,1021.798903,3062.522652,0.254,Shrub,126.431044,0
1442,28N,345963,3107640,315,12.3,321,169.669718,E,8.541,457.558739,739.924996,0.509,Shrub,131.264092,0
1443,28N,359955,3119244,17,14.4,260,288.803627,E,5.45,547.858558,2286.359989,0.458,Urban,50.887537,0
1449,28N,351345,3109708,164,13.6,280.1262,251.644173,E,6.844,636.496661,3586.201332,0.611,Shrub,204.57953,1
1460,28N,361830,3131433,240,12.17,360,103.84335,E,9.054,363.166628,363.166628,0.662,Urban,42.627508,0
1468,28N,365936,3138433,37,14.32,266,75.318075,E,6.491,831.17086,1278.405647,0.407,Shrub,111.644591,1
1470,28N,366922,3140430,21,14.24,266,613.353233,E,5.177,963.872398,3206.546428,0.407,Grass,82.838889,1
1482,28N,365984,3140073,105,13.8,267,251.155524,E,14.644,359.254784,2337.807733,0.458,Urban,57.80436,1
1483,28N,366159,3140452,103,13.84,272.2864,456.694342,E,9.27,323.834834,2751.230451,0.458,Urban,5.511267,0
1310,28N,332707,3105854,209,13.2,299,153.11536,N,11.071,1459.301887,1459.301887,0.763,Shrub,136.234023,0.72643998
1331,28N,371569,3161113,23,13,336,235.149295,N,12.986,666.589078,5281.702093,0.101,Grass,108.493987,0
1341,28N,337196,3121781,2037,1.7,487,3153.512842,N,4.481,7027.272586,7027.272586,0.305,Shrub,250.778759,0
